gene	label	hf_class	protein_ids	phenotype_vec	pheno_cluster
CXCR3	0	unlabeled	['A0A0S2Z3W5', 'A0A0S2Z3W9', 'P49682']	[0.37001879095287, -0.295526596629371, -0.0153879937856002]	1
PTCH2	0	unlabeled	['Q9Y6C5']	[0.1587262173137958, -0.3840656944370182, 0.4154465064105427]	1
BAHCC1	0	unlabeled	['A0AAG2UUQ8', 'A0AAG2UUZ7', 'F8WBW8', 'Q9P281']	[0.2970120284661777, -0.6469891539267659, -0.2992112284775124]	1
CETP	0	unlabeled	['A0A0S2Z3F6', 'A0A0S2Z3I8', 'A8K6C1', 'B4DMZ5', 'P11597']	[0.5558859876280212, -1.3002846951649314, 0.0684156169708552]	1
KDM5D	0	unlabeled	['A0A384MR42', 'B4E1Y0', 'E9PFH2', 'Q9BY66']	[0.4886043252095838, -0.4233933697732143, 0.4231364562999257]	1
NLRP6	0	unlabeled	['P59044']	[-0.0212184608438568, -0.1758113215846584, 0.2296557865074001]	1
KIF2A	0	unlabeled	['A0A6Q8PFA6', 'A0A6Q8PGH7', 'B0AZS5', 'B4DM85', 'O00139']	[-0.0112735765574141, -0.8505448000684763, 0.3662580907531571]	1
FJX1	0	unlabeled	['Q86VR8']	[0.0842591449188954, -0.9817545830303682, -0.0150607561706697]	1
PRAMEF8	0	unlabeled	['Q5VWM4']	[-0.1391169190794709, -0.2145460442358223, 0.0175808495807782]	1
HAUS6	0	unlabeled	['Q5VY60', 'Q7Z4H7']	[-0.0293332698837285, -0.844329612906555, 0.0785202820782014]	1
UQCRH	0	unlabeled	['P07919', 'Q567R0']	[-0.0287914457872046, -0.5444041337915602, 0.2363924031991105]	1
UCHL1	0	unlabeled	['B2RD14', 'P09936', 'V9HW74']	[0.5316025652878327, -0.6234436508141324, 0.3882608303836166]	1
OR8K5	0	unlabeled	['A0A126GVE4', 'Q8NH50']	[0.375018714421409, -0.445839493682169, 0.4268028716795462]	1
C1orf74	0	unlabeled	['A0A0A8K8E6', 'Q96LT6']	[0.0407270854301764, -0.5393313899450383, 0.4098872426596063]	1
ASF1B	0	unlabeled	['B4DXU6', 'Q9NVP2']	[0.2931779093251752, -0.2279030550986188, 0.2084567259077311]	1
SHROOM4	0	unlabeled	['Q9ULL8']	[0.161823353163415, -0.802005585725275, 0.4674202438742614]	1
S1PR4	0	unlabeled	['K9J962', 'O95977']	[0.3589502923988781, -0.2184759838328712, 0.0223769529025397]	1
SCUBE1	0	unlabeled	['Q8IWY4']	[-0.1836173863476713, -0.1805203408934733, 0.011968762686047]	1
CNP	0	unlabeled	['P09543']	[-0.0133059486069789, -0.577838468441241, 0.207510650837157]	1
HTT	0	unlabeled	['A0A7P0TA78', 'P42858']	[0.0282549740928846, -0.3568273280005998, -0.0047469029615303]	1
YPEL1	0	unlabeled	['O60688']	[0.7078663016811162, -0.4279703428532055, 0.2275072865023356]	1
ASTN2	0	unlabeled	['A0A0A0MRH9', 'B3KN99', 'B7ZKP3', 'B7ZKP4', 'B7ZKP5', 'O75129', 'X6R5P2']	[0.1825168751067016, -0.2677144581435474, 0.213340797045866]	1
FOLR3	0	unlabeled	['P41439']	[-0.0701087026662026, -0.4785561517283648, 0.244133595294336]	1
FASLG	0	unlabeled	['A0A0H3VB22', 'P48023', 'Q0VHD7', 'Q53ZZ1']	[-0.2373007668246881, -0.5341221315800182, 0.1840884458244627]	1
UBP1	0	unlabeled	['A8KAN5', 'Q9NZI7']	[0.0452331342412296, -0.1706319275628642, 0.3284691815983542]	1
IGFBP3	0	unlabeled	['B4DN53', 'P17936']	[0.2792181082847795, -0.5097947887340774, 0.2641943602182168]	1
ADGRA1	0	unlabeled	['Q86SQ6']	[0.1874252301612208, -0.4012550503688705, -0.0738937974380394]	1
SNX14	0	unlabeled	['A0A804HI30', 'A0A804HI47', 'A0A804HI51', 'A0A804HIA1', 'A0A804HIK6', 'A0A804HIR3', 'A0A804HJ91', 'A0A804HJC6', 'A0A804HJG1', 'A0A804HJK3', 'A0A804HJS3', 'A0A804HK22', 'A0A804HK55', 'A0A804HKC6', 'A0A804HKJ3', 'A0A804HKZ1', 'D6RJG9', 'Q9Y5W7']	[0.2092199370353314, -0.5449740916400624, 0.5188506282387985]	1
SUMF1	0	unlabeled	['F5GXA0', 'Q8NBK3']	[0.338717045206493, -0.6263126016996217, -0.0609394907854164]	1
RAB3GAP1	0	unlabeled	['A0A8J9AUI2', 'B9A6J2', 'Q15042']	[0.0156875092374243, -0.4464759602711857, -0.005788335275273]	1
KDM4A	0	unlabeled	['O75164']	[0.4251312612116058, -0.6445095844626355, -0.1388508135818493]	1
FERMT3	0	unlabeled	['A0A8V8TME2', 'F5H3I6', 'Q86UX7']	[0.5201657401518966, -0.3548600042577925, 0.4482966718799559]	1
EFNA5	0	unlabeled	['D6RDV5', 'P52803']	[0.1024531025453537, -0.8505517751466661, 0.0184161233481278]	1
DHRS1	0	unlabeled	['Q96LJ7']	[0.4675169157434953, -0.5131231609501519, 0.5077860831670544]	1
EBF1	0	unlabeled	['A8K0Z7', 'B4E172', 'Q9UH73']	[0.0327685534929197, -0.4574528913734018, 0.3442859290601969]	1
SLCO1A2	0	unlabeled	['B4DJE6', 'B7ZAD4', 'P46721']	[-0.2055454369556857, -0.3452729121034081, 0.1220504571357276]	1
VAT1L	0	unlabeled	['A8K288', 'Q9HCJ6']	[0.3704889099297783, -0.1217408414238499, 0.3300400230396452]	1
MFAP3L	0	unlabeled	['O75121']	[0.3475668937467335, -1.2362403943340183, 0.3879782698947659]	1
NDUFB5	0	unlabeled	['A0A087WYD0', 'B2R9L0', 'O43674']	[0.1955997132417705, -0.1954800046456924, 0.1608817190711279]	1
GGA3	0	unlabeled	['A8K6I6', 'A8K6M0', 'B7Z456', 'J3KSS7', 'Q9NZ52']	[0.6610063320921304, -0.5997776513924993, 0.1593657388290707]	1
MDH2	0	unlabeled	['A0A024R4K3', 'B3KTM1', 'G3XAL0', 'P40926', 'Q6FHZ0']	[0.3642674032948477, -0.3635418457422714, 0.244175923862149]	1
GBE1	0	unlabeled	['Q04446', 'Q59ET0']	[0.1097207655131696, -0.6167311539537936, 0.2078623057787915]	1
TRPV6	0	unlabeled	['A0A1X7SBT1', 'Q9H1D0']	[-0.0564499142434475, -0.6826635338890055, 0.1888561227242562]	1
SLFN5	0	unlabeled	['B4E0B1', 'B4E128', 'Q08AF3']	[-0.2311938052103486, -0.2950182106087453, 0.1775625912063486]	1
HADHA	0	unlabeled	['E9KL44', 'H0YFD6', 'P40939']	[-0.0157957310352958, -0.7028358626067844, 0.3518286900068537]	1
PCDHA4	0	unlabeled	['A0A5F9ZHY0', 'D6RA20', 'Q9UN74']	[0.5512906679180818, -1.1028013903345162, 0.5705698539831779]	1
ZCCHC17	0	unlabeled	['A0A087WXF8', 'A0A087WXU5', 'A0A087WYF0', 'A0A087WYV3', 'A0A0D9SEW3', 'B4DYA9', 'Q9NP64']	[0.2398816497939969, -0.9948342696196164, 0.3728979957453489]	1
ZNF157	0	unlabeled	['P51786']	[0.2989102387408439, -0.7374913246951723, 0.450646273169335]	1
TMEM230	0	unlabeled	['A0A087WTT2', 'Q96A57']	[-0.0383043537338896, -0.3857363070484986, 0.0256080940895901]	1
EIF4G3	0	unlabeled	['A0A0A0MSA7', 'A0A804HJV5', 'A0A8I5KT99', 'A0A8I5QJH9', 'A0A8J9G7U8', 'B4DH17', 'B4DXR2', 'B4DZE1', 'O43432']	[-0.1814013926815575, -0.7400743047092626, 0.2237231405770449]	1
CPA2	0	unlabeled	['A0A0S2Z3K5', 'P48052']	[-0.1393377600427798, -0.2217232161519342, 0.2081314479398746]	1
DESI1	0	unlabeled	['Q6ICB0']	[0.5122489602299937, -0.5673845858916375, 0.2969855631615535]	1
TESC	0	unlabeled	['Q96BS2']	[0.2976212396223309, -0.2539922499075357, 0.3225377436725604]	1
ZNF549	0	unlabeled	['Q6P9A3']	[0.3127910438284905, -0.15233411562452, 0.2587912862495734]	1
MYH8	0	unlabeled	['P13535', 'V9HWC1']	[0.2506723395211264, -0.2145506475895597, 0.2157493592081311]	1
CIP2A	0	unlabeled	['Q8TCG1']	[0.0042743430937407, -0.914745845703095, 0.039931873003003]	1
GPR132	0	unlabeled	['B2LM89', 'Q9UNW8']	[0.147276469859742, -0.2336201894113756, -0.1024030390439076]	1
GNL1	0	unlabeled	['A0A024RCR2', 'A0A1U9X7R2', 'P36915']	[0.3303567854314976, -0.1115538944936039, -0.0707434271222008]	1
IGDCC3	0	unlabeled	['B3KTG6', 'Q8IVU1']	[-0.2468600445626029, -0.4392054936497913, 0.0970799923503245]	1
GFI1	0	unlabeled	['Q99684']	[0.1734996786046453, -0.3062695377930863, 0.2098097011321493]	1
IFT25	0	unlabeled	['Q9Y547', 'X6R7Y7']	[-0.1073357261716304, -0.2882049583599819, 0.1025936457356839]	1
ATIC	0	unlabeled	['B2R7P8', 'B4DP06', 'P31939', 'V9HWH7']	[0.1859875975463839, -0.6156955859787026, -0.0807968432061463]	1
XAGE1B	0	unlabeled	['Q9HD64']	[0.1719137062583099, -0.2755665205486304, 0.3963051128970387]	1
SIGLECL1	0	unlabeled	['B7ZLS6', 'Q8N7X8']	[0.668826157931828, -0.3866332249260863, -0.1810324428617499]	1
CRLF1	0	unlabeled	['A0A804HI12', 'O75462']	[-0.0663728717231982, -0.4973122204669298, 0.1610183596364765]	1
RNF32	0	unlabeled	['E9PES2', 'G5E940', 'Q9H0A6']	[0.1670291475765358, -0.1159222107611725, -0.273361884889776]	1
UCMA	0	unlabeled	['A0A067XJP8', 'A0A067XJX6', 'A0A067XKV3', 'Q8WVF2', 'R4GMV7']	[-0.0856278066636951, -0.4099678186566898, 0.1945724420193545]	1
PXYLP1	0	unlabeled	['B7Z3R9', 'B7Z4T2', 'E9PDB7', 'Q8TE99']	[0.3286309997806504, -0.7511582810464039, 0.3044246487365751]	1
NAGS	0	unlabeled	['K7EK11', 'Q2NKP2', 'Q8N159']	[0.2249905266926679, -0.5348891462404433, 0.4199805687793282]	1
CRELD2	0	unlabeled	['A6PWM2', 'Q6UXH1']	[0.059858676586975, -0.1440575415716595, 0.2799587931878626]	1
ZNF260	0	unlabeled	['Q3ZCT1']	[0.474220178695767, -0.5712336439176039, 0.3761641776409541]	1
CFAP46	0	unlabeled	['A0A1W2PQB9', 'Q8IYW2']	[0.7134791552921468, -0.0112601929668641, 0.2210623349207775]	2
PPM1M	0	unlabeled	['Q96MI6']	[0.865797456158252, 0.0666926915252864, 0.3695152886149184]	2
MOCS1	0	unlabeled	['A0AAQ5BGK8', 'A0AAQ5BGM4', 'A0AAQ5BGM5', 'Q9NZB8']	[1.1344858590224922, 0.3061139215209016, 0.3827336066326434]	2
DBH	0	unlabeled	['P09172']	[0.5129179282255536, 0.0045100010673153, 0.4139148910599368]	2
PDPK1	0	unlabeled	['E9PER6', 'O15530', 'Q53HJ9', 'Q9UPJ8']	[0.6610855739281098, 0.1306978192156116, -0.1542828912985365]	2
CREBRF	0	unlabeled	['A8K6L2', 'Q8IUR6']	[0.7739578154615175, 0.4328221581211833, 1.061746320654378]	2
NCAPH	0	unlabeled	['A8K4T8', 'B4DRG7', 'E9PHA2', 'Q15003']	[1.1150243089776202, 0.3439602654455223, -0.0764498441383442]	2
MAMSTR	0	unlabeled	['M0QY28', 'Q6ZN01']	[0.9612051433332016, 0.2110707222892702, 0.6943704170807705]	2
GAS2	0	unlabeled	['E9PRR5', 'O43903']	[0.9230230242364372, 0.2774608100678605, 0.6070087861681297]	2
FH	0	unlabeled	['A0A0S2Z4C3', 'A0A804HI24', 'P07954']	[0.931833064470906, -0.1015505641072692, 0.06899745015927]	2
P4HA1	0	unlabeled	['P13674', 'Q5VSQ6']	[0.5917370817017912, 0.0578828730256128, 0.5297096311555436]	2
RAI14	0	unlabeled	['B4DNL3', 'Q9P0K7']	[1.8154485033993677, 0.1170246845328862, 0.4685672678908079]	2
SMIM13	0	unlabeled	['P0DJ93']	[1.4321594986815238, 0.2702781365475612, 0.5458379124423449]	2
DNAL1	0	unlabeled	['G3V424', 'Q4LDG9']	[0.7475097621651012, -0.0178543606780512, 0.3269675974717487]	2
NPIPB7	0	unlabeled	['I3L0I5', 'O75200']	[0.6292582996302631, 0.7776535665716123, 1.081272822375146]	2
IFT80	0	unlabeled	['Q9P2H3']	[0.575252101374529, 0.2918555344992531, 0.8131608061467597]	2
PAQR4	0	unlabeled	['B4DI04', 'I3L1A2', 'I3L265', 'Q8N4S7']	[2.5593232751697244, 0.450361778204928, -0.3104625811975612]	2
EPC2	0	unlabeled	['E7ETK1', 'Q52LR7', 'Q53SN6']	[1.2853926454000295, -0.1381557722177949, -0.1671550789028628]	2
CRTC3	0	unlabeled	['Q6UUV7', 'Q8TEF4']	[1.656051054687195, 0.3890683529236018, 0.3189564042845026]	2
HTN3	0	unlabeled	['P15516', 'X6RAH8']	[0.7480133522686027, -0.1584375697321494, 0.2555409215106133]	2
RUNX1	0	unlabeled	['A8MZI9', 'H9KVB1', 'Q01196']	[0.8347098508358752, -0.0422115033500145, 0.0971349410707105]	2
NLRP12	0	unlabeled	['A0A0C4DFY3', 'A0A0C4DH17', 'A8K407', 'P59046']	[1.0764731406308718, 0.0354462998169516, 0.4232515840731558]	2
SRCAP	0	unlabeled	['A0A0C4DFX4', 'Q6ZRS2']	[0.8600152550780535, -0.04791092581823, 0.1792732266848367]	2
SPON2	0	unlabeled	['Q9BUD6']	[0.9830306696823268, -0.1270111538690512, 0.4186111099277285]	2
SPSB3	0	unlabeled	['B7Z7H9', 'Q6PJ21']	[2.2242806608112846, 0.3444073552912048, -0.4950529889660314]	2
PHF20	0	unlabeled	['Q9BVI0']	[0.9493046725223242, 0.0383055671997645, 0.3967667027548587]	2
SLC26A7	0	unlabeled	['A0A087WZI7', 'Q8TE54']	[0.913272675254402, 0.2441663705640213, 0.353594242317956]	2
BGLAP	0	unlabeled	['P02818']	[0.6606935055760215, 0.3785404618863954, -0.1293105709279276]	2
ZNF627	0	unlabeled	['Q7L945']	[1.017887910736138, 0.0379165771243957, 0.7900160036415264]	2
GASK1B	0	unlabeled	['Q6UWH4']	[1.0144865603361033, 0.1113287859309547, 0.2946949857641195]	2
ITGA1	0	unlabeled	['B4DTY8', 'P56199']	[0.7092259517791225, -0.2228119634828882, 0.3155361979156201]	2
ANKEF1	0	unlabeled	['Q8TCA8', 'Q9NU02']	[0.6427877125595575, 0.5593307998409076, 0.7177429713980633]	2
NCKAP1L	0	unlabeled	['P55160', 'Q9BV52']	[0.8612862064498097, 0.1683063591878685, 0.596983873159603]	2
MVB12B	0	unlabeled	['B7Z1P9', 'F8W922', 'Q9H7P6']	[0.5945338192999217, 0.0499691591626341, 0.0206361096054853]	2
PLEKHF2	0	unlabeled	['Q9H8W4']	[1.207623651055639, 0.8435141849470125, 0.5172340842536174]	2
RIOX1	0	unlabeled	['A0A0A8K8C0', 'Q9H6W3']	[0.6399485735732287, -0.0424327117576269, 0.5191457913647572]	2
RBM19	0	unlabeled	['Q9Y4C8']	[0.6281423579060705, 0.1054504202087315, 0.1444500150520947]	2
MAGED4B	0	unlabeled	['Q96JG8']	[0.8427503149794193, 0.2073450194676265, 0.2810293478937664]	2
LSR	0	unlabeled	['A0A8Z5AA41', 'A0A8Z5ABK9', 'A0A8Z5DL71', 'Q9BWS2', 'S4R3V8']	[0.8097735556805367, 0.7217177587827925, 0.7499729458593802]	2
SMARCD1	0	unlabeled	['B4DF50', 'Q96GM5']	[0.5519049738373503, 0.2873777590552425, 0.1668564266459924]	2
RGL3	0	unlabeled	['Q3MIN7']	[0.683079131137978, -0.0925615464337406, 0.2664512772906767]	2
PSPC1	0	unlabeled	['B4DWI8', 'Q8WXF1']	[0.721461783144145, -0.0757002892820561, 0.4609579984127459]	2
ZNF146	0	unlabeled	['Q15072']	[0.4947534884596588, -0.0183896182142578, 0.3500736959604543]	2
SLC17A3	0	unlabeled	['O00476']	[0.7063039549820022, -0.2406609702521834, 0.2255743611717182]	2
SLC16A2	0	unlabeled	['P36021']	[0.7302179953398223, 0.6928669927082771, 0.7372563379334731]	2
HS3ST3A1	0	unlabeled	['J3KSX5', 'Q9Y663']	[1.2940192705439482, 0.3570681379804388, 0.5948477381580495]	2
ARMCX2	0	unlabeled	['A8K5M7', 'Q7L311']	[1.276722600843864, -0.2337303051019169, 0.3422695768036016]	2
KCTD5	0	unlabeled	['Q9NXV2']	[0.5798590041935225, 0.2551190885271762, 0.4723816384160101]	2
ETV6	0	unlabeled	['A0A0S2Z3C9', 'A0A0S2Z3N6', 'P41212', 'Q02548']	[0.64829582046057, 0.103581162694181, 0.637506725361654]	2
TIMM9	0	unlabeled	['A0A1W2PQS5', 'A0A1W2PRH9', 'G3V502', 'Q9Y5J7']	[1.0179198540001555, 0.4417247682577882, 0.3065472230598467]	2
LIM2	0	unlabeled	['P55344']	[0.908475876587004, 0.1295233098348187, 0.5605319485781705]	2
PRB3	0	unlabeled	['A0A0G2JNB4', 'Q04118']	[0.7164688757409643, 0.372874019177864, 0.2452779833786243]	2
ANO9	0	unlabeled	['A1A5B4']	[1.145699135198528, 0.645991948117476, 0.2964929227279823]	2
ADGRG1	0	unlabeled	['A0A024R6U7', 'A0A0S2Z517', 'A0A5F9ZH94', 'B3KQN7', 'B4DM06', 'Q9Y653']	[0.6083314102193449, 0.1523811643747437, -0.1966119263231553]	2
AMBRA1	0	unlabeled	['A0A075B6T1', 'B4DZ97', 'Q9C0C7']	[0.7789408254703712, 0.1102273200849256, 0.5439128501399718]	2
MED20	0	unlabeled	['B3KUJ9', 'B7ZBQ3', 'Q9H944']	[0.8754110092018044, -0.1090550455040599, 0.0328231820204917]	2
CEP41	0	unlabeled	['A0A6Q8PF12', 'A0A6Q8PFB1', 'A0A6Q8PH03', 'A0A7I2PK71', 'A0A7I2SYM4', 'Q9BYV8']	[0.5765617466105663, 0.2611707175510443, 0.4712283343009633]	2
DMRTA1	0	unlabeled	['Q5VZB9']	[0.7004338697268788, 0.6377454791021492, 0.5594867817710608]	2
SCMH1	0	unlabeled	['A0A8Q3SHN2', 'A0A8Q3SHR9', 'B3KMZ7', 'B4DWE6', 'Q96GD3']	[0.918536554007876, 0.0399646743707948, 0.4667307490965263]	2
ZNF567	0	unlabeled	['F8WEL6', 'Q8N184']	[1.166025121377015, -0.1752944412355782, 0.5763412287036387]	2
MYOF	0	unlabeled	['Q9NZM1']	[0.7639787709106317, -0.3533157700848306, 0.4272759495062708]	2
SPINT3	0	unlabeled	['P49223']	[0.6678949894075007, -0.077453498763456, 0.400962020679392]	2
KCTD12	0	unlabeled	['A0A140VJM4', 'B3KY04', 'Q96CX2']	[0.8806752618301115, 0.5364359258658753, 0.1438347099340604]	2
HSPB6	0	unlabeled	['A0A384MEB1', 'O14558', 'V9HWB6']	[1.005261957168704, -0.0741144688180714, 0.1587017410693183]	2
QNG1	0	unlabeled	['Q5T6V5', 'Q5T6V7']	[1.5152346230663176, 0.3277725655095296, 0.6502296425861644]	2
ZNF561	0	unlabeled	['A8KAD9', 'Q8N587']	[0.9125631690251816, 0.4241975502098961, 0.6600876959599074]	2
FAM133A	0	unlabeled	['Q8N9E0']	[0.8235692966071371, 0.49404329291152, -0.0904461442552748]	2
CDC42BPA	0	unlabeled	['A0A0A0MRJ0', 'A0A0A0MRJ1', 'B9EGA7', 'Q5VT25', 'Q8IWQ7']	[0.7486474025986535, -0.2445913626146232, 0.2356634374881149]	2
FKBP9	0	unlabeled	['B3KQQ0', 'B7Z230', 'O95302']	[1.4266825545767357, 0.6997518287711696, 0.3887354863425961]	2
TRIM43B	0	unlabeled	['A6NCK2']	[1.044063793277734, 0.0415380724576812, 0.0411304793317376]	2
APBB2	0	unlabeled	['B4E2F2', 'G5E9Y1', 'H0YAJ5', 'Q92870']	[0.7848099769449541, 0.2273564519335437, 0.3985803556425043]	2
HLA-DRB1	0	unlabeled	['A0A098GK79', 'A0A0A1IBA8', 'A0A0A8LDX0', 'A0A0A8LFF3', 'A0A224MKH6', 'A0A455QYV7', 'A0A455R0R3', 'A0A6C0NSJ1', 'A0A6V7B690', 'A0A6V7B8E1', 'A0A7G2CTJ8', 'A0A7R8NBZ3', 'A0A7R8NBZ9', 'A0A7R8NC96', 'A0A7R8ND07', 'A0A7S4PRB8', 'A0A7S4U9P6', 'A0A7S4V2F4', 'A0A8F6GU52', 'A2BFX2', 'A8K634', 'D7RIG5', 'D7RIH8', 'P01911', 'Q56FN8', 'Q56FP5', 'Q5XKU0', 'Q5Y7D1', 'Q70Q10', 'S6B225', 'X5CF47', 'X5DNQ0']	[1.5013673182932543, 0.5247674722475515, 0.1328610577181859]	2
PXMP2	0	unlabeled	['Q9NR77']	[1.0026072771486123, 0.2534975280155995, 0.4330493800692442]	2
CNMD	0	unlabeled	['O75829']	[0.8094785472816257, 0.028448886629015, 0.4425783728204835]	2
RHOBTB3	0	unlabeled	['O94955']	[0.5696665062383124, -0.071541909584188, 0.4980763166502934]	2
MRI1	0	unlabeled	['Q9BV20']	[0.5412029430080838, 0.3377413684564307, 0.617799034377063]	2
WIPI2	0	unlabeled	['B3KMZ0', 'Q9Y4P8']	[1.099923541482865, 0.2851933266706211, -0.2744837526284433]	2
CCDC122	0	unlabeled	['B7ZMJ0', 'Q5T0U0']	[0.7366212439825759, 0.0098731762971095, 0.6936842349426211]	2
PVRIG	0	unlabeled	['A0A8V8TN58', 'Q6DKI7']	[1.311435524087636, -0.5490953246834485, 0.0849236172417155]	2
BPY2	0	unlabeled	['O14599']	[1.2163040134529226, 0.2513493470970359, 1.1513627031805345]	2
ZNF57	0	unlabeled	['A5HJR3', 'G3V131', 'Q68EA5']	[1.035686157015001, -0.1345863830847081, 0.3043403210776009]	2
ATXN2	0	unlabeled	['A0A5F9ZI57', 'F8VQP2', 'Q2M2R5', 'V9GY86']	[0.963257772252949, 0.5195950952516477, 0.104476614933405]	2
CDCA5	0	unlabeled	['B5MBX0', 'Q96FF9']	[2.1503180838850353, 0.726926882373875, -2.2312429637732505]	3
GAL	0	unlabeled	['P22466']	[1.5932122719817674, -0.6068474274948906, -1.1080251108040156]	3
TTC17	0	unlabeled	['A0A994J3X0', 'Q96AE7', 'Q9NV73']	[0.5128375185026167, -0.3471321988786884, -0.817424987218379]	3
FARP1	0	unlabeled	['A0A2X0TVY0', 'C9JME2', 'Q9Y4F1']	[1.0976207376067766, -0.9451445122044844, -0.5894155015632017]	3
CLIC4	0	unlabeled	['B3KTR3', 'B4DWC4', 'Q6FIC5', 'Q9Y696']	[0.9716041139098408, -0.6914972268251236, -0.6789400684522677]	3
EFS	0	unlabeled	['O43281']	[1.946133900570549, -0.1724054157105699, -1.3165337431185336]	3
C1orf210	0	unlabeled	['Q8IVY1']	[2.5941106446462197, 0.3777646369404022, -1.0233761573797593]	3
POU3F4	0	unlabeled	['A0A2R8Y739', 'P49335']	[0.812627846315279, -1.083333239700559, -0.9956138363457286]	3
DDX39A	0	unlabeled	['B4DX78', 'O00148']	[0.7337001383252223, -0.3240005450868846, -0.3128058734715193]	3
GNAL	0	unlabeled	['A8K1Y9', 'P38405', 'Q8N2B4']	[0.1729697530080299, -0.5455414536769335, -0.7336827762137567]	3
VGF	0	unlabeled	['O15240']	[1.2909520788148576, -0.5008057205561435, -0.9059083338705942]	3
MED6	0	unlabeled	['A0A087WYL7', 'A8K3N2', 'O75586']	[0.9015075251035536, 0.1129472152591607, -0.740832211389239]	3
PDHB	0	unlabeled	['A0A384MDR8', 'C9J634', 'P11177']	[0.5045464658288112, -0.7363285581622502, -0.7827734044462482]	3
NSDHL	0	unlabeled	['A0A384NPZ7', 'A0A7D5Q2L7', 'Q15738']	[0.3228688495473447, -0.0944087681092827, -0.647993161865956]	3
ABCB8	0	unlabeled	['B3KSN3', 'Q8N1X3', 'Q9NUT2']	[0.6412855176419199, -1.4047602409828457, -1.402333632721675]	3
F12	0	unlabeled	['A0A0R7FJH5', 'A0A346D5N4', 'A0AA51Z0K1', 'P00748', 'Q8IZZ5']	[1.5125891215946186, -1.4385146316439918, -1.400897999811764]	3
USP10	0	unlabeled	['A0A7G6J4N4', 'Q14694']	[0.1791393397171013, 0.1845848365763458, -1.1221348294354052]	3
RAB11FIP3	0	unlabeled	['A0A0J9YWV4', 'O75154', 'X6RFI8']	[0.4225393415324771, -0.1167117293497937, -0.4020648086639685]	3
S100A10	0	unlabeled	['P60903', 'Q6FGE5']	[0.2517047772490172, -0.6361133443122632, -0.9095821972339416]	3
CPNE5	0	unlabeled	['A0A0J9YWA1', 'Q9HCH3']	[0.7042934242490209, -0.3586404368945048, -0.4563058787394059]	3
GJA8	0	unlabeled	['A0A097IWA5', 'P48165', 'X5D7G1']	[0.4002074858400933, 0.0296334910719769, -0.7257214196425722]	3
DCLK1	0	unlabeled	['A0A9L9PXT2', 'B7Z2T7', 'B7Z5K4', 'O15075', 'Q5VZY9']	[0.4282843878561987, 0.3587969441494048, -0.6426019333546994]	3
NAA11	0	unlabeled	['Q9BSU3']	[1.4169628779411512, 0.1228848281172854, -0.5729995233360846]	3
ZNF136	0	unlabeled	['A0A494C0J2', 'P52737']	[0.4646729312065032, -0.5903198644122605, -1.345435077215827]	3
TICRR	0	unlabeled	['Q7Z2Z1']	[0.2627173794230187, -0.2832101658330225, -0.881972800296728]	3
SPAM1	0	unlabeled	['P38567', 'Q5D1J4']	[1.073440816755416, -0.5145089105066398, -0.4631356123878959]	3
BPI	0	unlabeled	['A0A2R8YDF1', 'A0ABB0MV37', 'H0Y738', 'P17213']	[0.120911829631425, -0.0547335044674753, -0.5019998180575683]	3
MADD	0	unlabeled	['A0A0A0MRB5', 'A0A0U1RR25', 'A0A9L9PXF1', 'A0A9L9PXN0', 'A0A9L9PXZ0', 'A0A9L9PXZ3', 'A0A9L9PY18', 'A0A9L9PY22', 'A0A9L9PYF5', 'Q8WXG6']	[0.6470395858654612, -0.6458991515930503, -0.4433662890318362]	3
MFAP5	0	unlabeled	['A8K3H0', 'B3KW70', 'F5GYX4', 'F5H413', 'Q13361']	[0.4295290489202693, -0.2846371044674566, -0.4720344695549547]	3
DONSON	0	unlabeled	['F8W8A5', 'Q9NYP3']	[0.3055676164910711, -1.1586546099336623, -1.646531354268058]	3
B3GNT2	0	unlabeled	['Q9NY97']	[0.6623767393341455, -0.1774055690250804, -0.2304226773275003]	3
LAP3	0	unlabeled	['P28838', 'V9HW38']	[0.90559637238181, -0.7826899480988497, -1.5561633210810253]	3
GFER	0	unlabeled	['P55789']	[1.931258092419807, -0.0041138912835094, -0.9462121186476852]	3
SH3GL1	0	unlabeled	['Q6FGM0', 'Q99961', 'Q9UQD4']	[0.4714656730174346, -0.5875934289172702, -0.3273872245706542]	3
HERPUD1	0	unlabeled	['A0A2Z2EHH6', 'A4UAE9', 'A8K6A0', 'A8K7S3', 'B4DXX2', 'Q15011', 'Q53FP9']	[0.9113228440565936, -0.7301115846539942, -0.8126599760427852]	3
PDK2	0	unlabeled	['B4DLP2', 'Q15119']	[0.9774290997698116, -0.1908501804830595, -0.2236752149398103]	3
PAPPA2	0	unlabeled	['Q9BXP8']	[1.0178133557704974, -1.113033232490152, -0.3961096804580933]	3
LGALSL	0	unlabeled	['Q3ZCW2']	[0.1984621412897081, 0.662734036585338, -0.7734234105589495]	3
CDC25A	0	unlabeled	['A8K3D9', 'C9JFR5', 'D8KXX0', 'K7N7S0', 'P30304']	[1.4016848038762408, -0.1530486506217512, -0.3621121518407326]	3
KAT6B	0	unlabeled	['A7E2B6', 'B2RWN8', 'Q8WYB5']	[0.5714425729280864, -0.3569367882549081, -0.5074614744808734]	3
GHRH	0	unlabeled	['P01286']	[0.7291911973592791, -0.3826452036926733, -0.4630397154468618]	3
