Name	UniProt_IDs	dIntensity_cPathogen_eMean_oVoronoiCells_nZScore	dIntensity_cLatePathogen_eMean_oVoronoiCells_nZScore	eCount_oCells_nZScore
LRFN4	Q6PJG9	0.9440071524031378	2.0981857028598943	-0.28080101230479665
LRFN5	B4DS98	-0.4149933098014889	-0.9138847700589688	0.1719246706623278
LRFN5	G3V364	-0.4149933098014889	-0.9138847700589688	0.1719246706623278
LRFN5	G3V4N1	-0.4149933098014889	-0.9138847700589688	0.1719246706623278
LRFN5	Q96NI6	-0.4149933098014889	-0.9138847700589688	0.1719246706623278
LRG1	P02750	-0.33835363212411784	-1.5701961314132444	0.018910963972338
LRG1	Q68CK4	-0.33835363212411784	-1.5701961314132444	0.018910963972338
LRGUK	A0A2R8YEJ5	0.9159670259950338	-0.25112188173218314	0.7369685256390359
LRGUK	A0A8Q3SI13	0.9159670259950338	-0.25112188173218314	0.7369685256390359
LRGUK	Q96M69	0.9159670259950338	-0.25112188173218314	0.7369685256390359
LRIF1	Q5T3J3	0.6461798583617093	0.055905645121305955	0.7399618125359004
LRIG1	Q5XWD3	-0.020877090673370846	-0.3977723832015173	0.7262798421041949
LRIG1	Q96JA1	-0.020877090673370846	-0.3977723832015173	0.7262798421041949
LRIG2	O94898	0.03487985068654509	-0.6509332058928029	0.4491532344369882
LRIG3	C9K080	0.18559640088133134	-0.1027122293637878	-0.034655958324318004
LRIG3	Q6UXM1	0.18559640088133134	-0.1027122293637878	-0.034655958324318004
LRIT1	Q9P2V4	-0.4133917934347267	-0.096598234544561	0.09871092361985159
LRIT2	A6NDA9	-0.0247261716514334	-0.6460837495592262	0.3977781505433373
LRIT3	A0A0A0MR64	0.5254715634069761	-0.9967362014067686	1.0561859389927686
LRIT3	Q3SXY7	0.5254715634069761	-0.9967362014067686	1.0561859389927686
LRMDA	A0A087WWI0	-0.11827114353478571	-0.39960267898295604	0.33478988989067904
LRMDA	Q9H2I8	-0.11827114353478571	-0.39960267898295604	0.33478988989067904
LRP1	Q07954	0.19890577521705738	-0.08151840094809193	0.29295185015236735
LRP10	H0YHW7	0.0340494720878175	-0.44197050197196897	-0.07872890768339745
LRP10	Q7Z4F1	0.0340494720878175	-0.44197050197196897	-0.07872890768339745
LRP11	Q5VYB9	-0.2689725799853211	-0.865239587882152	-0.5914575119995079
LRP11	Q86VZ4	-0.2689725799853211	-0.865239587882152	-0.5914575119995079
