Category,Term,Count,List Total,Pop Hits,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact,Full Term,User Ids,Theme,minus_log10_Benjamini
REACTOME_PATHWAY,Recruitment of NuMA to mitotic centrosomes,6,213,88,10908,0.0283,0.0776,3.49,1.0,0.0525,0.00742,R-HSA-380320~Recruitment of NuMA to mitotic centrosomes,"MZT2A,NME7,HAUS4,DYNLL1,CKAP5,TUBA8",Cell cycle & mitosis,1.1101382787418115
REACTOME_PATHWAY,Regulation of actin dynamics for phagocytic cup formation,5,213,60,10908,0.029,0.0795,4.27,1.0,0.0537,0.00619,R-HSA-2029482~Regulation of actin dynamics for phagocytic cup formation,"ARPC2,ARPC3,ARPC1A,ACTB,ACTG1",,1.0996328713435297
REACTOME_PATHWAY,IRAK1 recruits IKK complex,3,213,14,10908,0.0293,0.0799,10.97,1.0,0.054,0.00228,R-HSA-937039~IRAK1 recruits IKK complex,"UBE2V1,RPS27A,UBA52",Immune response & host–pathogen interactions,1.0974532206860086
REACTOME_PATHWAY,IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,3,213,14,10908,0.0293,0.0799,10.97,1.0,0.054,0.00228,R-HSA-975144~IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,"UBE2V1,RPS27A,UBA52",Immune response & host–pathogen interactions,1.0974532206860086
GOTERM_BP_DIRECT,mitotic DNA replication,2,245,2,16251,0.0298,0.344,66.33,1.0,0.328,0.000226,GO:1902969~mitotic DNA replication,"PCNA,MCM6",,0.46344155742846993
GOTERM_BP_DIRECT,telomeric loop disassembly,2,245,2,16251,0.0298,0.344,66.33,1.0,0.328,0.000226,GO:0090657~telomeric loop disassembly,"RTEL1,XRCC3",,0.46344155742846993
GOTERM_BP_DIRECT,early viral transcription,2,245,2,16251,0.0298,0.344,66.33,1.0,0.328,0.000226,GO:0019085~early viral transcription,"CCNT2,MON1B",,0.46344155742846993
GOTERM_BP_DIRECT,positive regulation of single stranded viral RNA replication via double stranded DNA intermediate,2,245,2,16251,0.0298,0.344,66.33,1.0,0.328,0.000226,GO:0045870~positive regulation of single stranded viral RNA replication via double stranded DNA intermediate,"TOP2A,TOP2B",,0.46344155742846993
GOTERM_BP_DIRECT,positive regulation of DNA repair,4,245,45,16251,0.0299,0.344,5.9,1.0,0.328,0.00463,GO:0045739~positive regulation of DNA repair,"PCNA,ACTL6A,RUVBL1,ERCC8",,0.46344155742846993
REACTOME_PATHWAY,Negative regulators of DDX58/IFIH1 signaling,4,213,35,10908,0.03,0.0815,5.85,1.0,0.0551,0.00461,R-HSA-936440~Negative regulators of DDX58/IFIH1 signaling,"UBE2D3,UBE2D1,RPS27A,UBA52",,1.0888423912600234
REACTOME_PATHWAY,Influenza Viral RNA Transcription and Replication,7,213,121,10908,0.0305,0.0827,2.96,1.0,0.0559,0.00949,R-HSA-168273~Influenza Viral RNA Transcription and Replication,"SEH1L,RPL11,NUP43,RPL38,RPS27A,UBA52,IPO5",Immune response & host–pathogen interactions,1.0824944904474534
GOTERM_BP_DIRECT,positive regulation of myoblast differentiation,4,245,46,16251,0.0316,0.36,5.77,1.0,0.344,0.00501,GO:0045663~positive regulation of myoblast differentiation,"PBRM1,KAT5,ACTL6A,ACTB",,0.44369749923271273
REACTOME_PATHWAY,EPH-Ephrin signaling,6,213,91,10908,0.032,0.0864,3.38,1.0,0.0584,0.0087,R-HSA-2682334~EPH-Ephrin signaling,"ARPC2,ARPC3,ARPC1A,CLTC,ACTB,ACTG1",,1.0634862575211066
REACTOME_PATHWAY,Transcriptional and post-translational regulation of MITF-M expression and activity,5,213,62,10908,0.0322,0.0864,4.13,1.0,0.0584,0.00711,R-HSA-9856649~Transcriptional and post-translational regulation of MITF-M expression and activity,"EPRS1,KARS1,LARS1,EEF1E1,DARS1",Cell signaling,1.0634862575211066
REACTOME_PATHWAY,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,4,213,36,10908,0.0323,0.0864,5.69,1.0,0.0584,0.0051,R-HSA-2173796~SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription,"CCNT2,MYC,RPS27A,UBA52",Cell signaling,1.0634862575211066
REACTOME_PATHWAY,Regulation of TP53 Degradation,4,213,36,10908,0.0323,0.0864,5.69,1.0,0.0584,0.0051,R-HSA-6804757~Regulation of TP53 Degradation,"PPP2R1B,RPS27A,UBA52,MTOR",Cell signaling,1.0634862575211066
GOTERM_BP_DIRECT,resolution of meiotic recombination intermediates,3,245,19,16251,0.0325,0.366,10.47,1.0,0.35,0.00274,GO:0000712~resolution of meiotic recombination intermediates,"TOP2A,TOP2B,EME2",,0.43651891460558934
GOTERM_BP_DIRECT,autophagosome maturation,4,245,47,16251,0.0334,0.374,5.65,1.0,0.357,0.00541,GO:0097352~autophagosome maturation,"GABARAPL2,SNAPIN,PIK3R4,GABARAP",,0.42712839779951983
REACTOME_PATHWAY,Enterobacterial factors antagonize host defense,3,213,15,10908,0.0334,0.0892,10.24,1.0,0.0603,0.00281,R-HSA-9956593~Enterobacterial factors antagonize host defense,"UBE2D3,RPS27A,UBA52",,1.0496351456238768
REACTOME_PATHWAY,Regulation of TP53 Expression and Degradation,4,213,37,10908,0.0346,0.0922,5.54,1.0,0.0623,0.00564,R-HSA-6806003~Regulation of TP53 Expression and Degradation,"PPP2R1B,RPS27A,UBA52,MTOR",Cell signaling,1.0352690789463705
REACTOME_PATHWAY,rRNA processing,9,213,193,10908,0.0348,0.0923,2.39,1.0,0.0624,0.0135,R-HSA-72312~rRNA processing,"FBL,NIP7,PRORP,RPL11,RPP21,RPL38,MTREX,RPS27A,UBA52",Protein & RNA homeostasis,1.034798298974088
GOTERM_BP_DIRECT,response to UV,4,245,48,16251,0.0352,0.391,5.53,1.0,0.374,0.00583,GO:0009411~response to UV,"UBE2B,HUS1,ERCC8,UBE2A",,0.40782324260413316
REACTOME_PATHWAY,Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,4,213,38,10908,0.0371,0.0982,5.39,1.0,0.0664,0.0062,R-HSA-6814122~Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding,"CCT3,CCT6A,CCT2,TCP1",,1.0078885122130503
REACTOME_PATHWAY,RSV-host interactions,6,213,95,10908,0.0375,0.099,3.23,1.0,0.067,0.0106,R-HSA-9833110~RSV-host interactions,"CUL5,MED21,ELOC,RPS27A,UBA52,RBX1",,1.00436480540245
REACTOME_PATHWAY,VLDLR internalisation and degradation,3,213,16,10908,0.0377,0.0993,9.6,1.0,0.0671,0.00341,R-HSA-8866427~VLDLR internalisation and degradation,"CLTC,RPS27A,UBA52",Membrane trafficking & vesicular transport,1.0030507515046188
GOTERM_BP_DIRECT,"mRNA splicing, via spliceosome",8,245,208,16251,0.0378,0.416,2.55,1.0,0.397,0.0138,"GO:0000398~mRNA splicing, via spliceosome","DBR1,SF3B3,SNRPD1,EIF4A3,DHX16,MTREX,SNRPD3,USP39",,0.3809066693732573
GOTERM_BP_DIRECT,nucleocytoplasmic transport,4,245,50,16251,0.0391,0.419,5.31,1.0,0.4,0.00674,GO:0006913~nucleocytoplasmic transport,"NXT1,SEH1L,NUP43,RAN",,0.3777859770337047
GOTERM_BP_DIRECT,epithelial cilium movement involved in extracellular fluid movement,3,245,21,16251,0.0391,0.419,9.48,1.0,0.4,0.00368,GO:0003351~epithelial cilium movement involved in extracellular fluid movement,"NME7,DNAAF11,NME5",,0.3777859770337047
GOTERM_BP_DIRECT,positive regulation of mitotic cell cycle spindle assembly checkpoint,3,245,21,16251,0.0391,0.419,9.48,1.0,0.4,0.00368,GO:0090267~positive regulation of mitotic cell cycle spindle assembly checkpoint,"XRCC3,DYNLL1,MAD2L1",,0.3777859770337047
REACTOME_PATHWAY,Association of TriC/CCT with target proteins during biosynthesis,4,213,39,10908,0.0396,0.104,5.25,1.0,0.0703,0.00681,R-HSA-390471~Association of TriC/CCT with target proteins during biosynthesis,"CCT3,CCT6A,CCT2,TCP1",Protein & RNA homeostasis,0.9829666607012196
REACTOME_PATHWAY,SRP-dependent cotranslational protein targeting to membrane,6,213,97,10908,0.0405,0.106,3.17,1.0,0.0715,0.0117,R-HSA-1799339~SRP-dependent cotranslational protein targeting to membrane,"RPL11,SRP54,RPL38,SRP68,RPS27A,UBA52",Protein & RNA homeostasis,0.9746941347352298
REACTOME_PATHWAY,L13a-mediated translational silencing of Ceruloplasmin expression,6,213,97,10908,0.0405,0.106,3.17,1.0,0.0715,0.0117,R-HSA-156827~L13a-mediated translational silencing of Ceruloplasmin expression,"RPL11,EIF3G,RPL38,RPS27A,UBA52,EIF4G1",Protein & RNA homeostasis,0.9746941347352298
REACTOME_PATHWAY,GTP hydrolysis and joining of the 60S ribosomal subunit,6,213,98,10908,0.042,0.109,3.14,1.0,0.0739,0.0123,R-HSA-72706~GTP hydrolysis and joining of the 60S ribosomal subunit,"RPL11,EIF3G,RPL38,RPS27A,UBA52,EIF4G1",Protein & RNA homeostasis,0.9625735020593764
GOTERM_BP_DIRECT,negative regulation of telomere maintenance via telomerase,3,245,22,16251,0.0426,0.444,9.05,1.0,0.425,0.00422,GO:0032211~negative regulation of telomere maintenance via telomerase,"STN1,TEN1,POT1",,0.3526170298853802
GOTERM_BP_DIRECT,regulation of cyclin-dependent protein serine/threonine kinase activity,3,245,22,16251,0.0426,0.444,9.05,1.0,0.425,0.00422,GO:0000079~regulation of cyclin-dependent protein serine/threonine kinase activity,"CCNT2,CDC6,CDKN3",,0.3526170298853802
