"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"GOTERM_BP_DIRECT","positive regulation of mitotic cell cycle spindle assembly checkpoint","3","248","21","16251","4.00e-2","8.12e-1","9.36","1.00e+0","8.00e-1","3.81e-3","GO:0090267~positive regulation of mitotic cell cycle spindle assembly checkpoint","DYNC1H1,XRCC3,DYNLL2"
"REACTOME_PATHWAY","Reproduction","7","209","132","10908","4.05e-2","2.15e-1","2.77","1.00e+0","1.83e-1","1.35e-2","R-HSA-1474165~Reproduction","ACD,MRE11,DMC1,RPA1,RPA2,POT1,MND1"
"REACTOME_PATHWAY","Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","3","209","17","10908","4.08e-2","2.15e-1","9.21","1.00e+0","1.84e-1","3.87e-3","R-HSA-190840~Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane","TUBA1C,TUBA1B,TUBA4A"
"REACTOME_PATHWAY","Regulation of T cell activation by CD28 family","10","209","242","10908","4.23e-2","2.21e-1","2.16","1.00e+0","1.89e-1","1.82e-2","R-HSA-388841~Regulation of T cell activation by CD28 family","PPP2CB,KMT2A,PSMD13,PPP2R1A,PSMC2,CUL1,AKT1,RICTOR,ERLIN2,RBX1"
"REACTOME_PATHWAY","Vif-mediated degradation of APOBEC3G","4","209","41","10908","4.29e-2","2.22e-1","5.09","1.00e+0","1.90e-1","7.62e-3","R-HSA-180585~Vif-mediated degradation of APOBEC3G","CUL5,PSMD13,PSMC2,RBX1"
"REACTOME_PATHWAY","Cross-presentation of soluble exogenous antigens (endosomes)","4","209","41","10908","4.29e-2","2.22e-1","5.09","1.00e+0","1.90e-1","7.62e-3","R-HSA-1236978~Cross-presentation of soluble exogenous antigens (endosomes)","PSMD13,PSMC2,PSME1,PSMB10"
"GOTERM_BP_DIRECT","actin polymerization or depolymerization","3","248","22","16251","4.35e-2","8.48e-1","8.94","1.00e+0","8.35e-1","4.36e-3","GO:0008154~actin polymerization or depolymerization","ENAH,CAPZB,CFL1"
"GOTERM_BP_DIRECT","cell population proliferation","7","248","169","16251","4.45e-2","8.48e-1","2.71","1.00e+0","8.35e-1","1.50e-2","GO:0008283~cell population proliferation","MRE11,MCM7,TXNRD1,IL18,CUL1,AKT1,RBX1"
"GOTERM_BP_DIRECT","negative regulation of beige fat cell differentiation","2","248","3","16251","4.49e-2","8.48e-1","43.69","1.00e+0","8.35e-1","6.89e-4","GO:0160276~negative regulation of beige fat cell differentiation","CUL2,RBX1"
"GOTERM_BP_DIRECT","telomere assembly","2","248","3","16251","4.49e-2","8.48e-1","43.69","1.00e+0","8.35e-1","6.89e-4","GO:0032202~telomere assembly","ACD,POT1"
"GOTERM_BP_DIRECT","small-subunit processome assembly","2","248","3","16251","4.49e-2","8.48e-1","43.69","1.00e+0","8.35e-1","6.89e-4","GO:0034462~small-subunit processome assembly","XRCC5,PRKDC"
"GOTERM_BP_DIRECT","positive regulation of cell growth","5","248","88","16251","4.51e-2","8.48e-1","3.72","1.00e+0","8.35e-1","1.12e-2","GO:0030307~positive regulation of cell growth","PSMD10,DDX3Y,CFL1,AKT1,RICTOR"
"REACTOME_PATHWAY","Transport of connexons to the plasma membrane","3","209","18","10908","4.53e-2","2.32e-1","8.70","1.00e+0","1.98e-1","4.57e-3","R-HSA-190872~Transport of connexons to the plasma membrane","TUBA1C,TUBA1B,TUBA4A"
"REACTOME_PATHWAY","GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","4","209","42","10908","4.55e-2","2.32e-1","4.97","1.00e+0","1.98e-1","8.30e-3","R-HSA-9762114~GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2","PSMD13,PSMC2,CUL1,RBX1"
"REACTOME_PATHWAY","FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","4","209","42","10908","4.55e-2","2.32e-1","4.97","1.00e+0","1.98e-1","8.30e-3","R-HSA-8854050~FBXL7 down-regulates AURKA during mitotic entry and in early mitosis","PSMD13,PSMC2,CUL1,RBX1"
"GOTERM_BP_DIRECT","positive regulation of telomere maintenance via telomerase","3","248","23","16251","4.72e-2","8.55e-1","8.55","1.00e+0","8.42e-1","4.96e-3","GO:0032212~positive regulation of telomere maintenance via telomerase","CCT3,POT1,CCT7"
"GOTERM_BP_DIRECT","positive regulation of microtubule polymerization","3","248","23","16251","4.72e-2","8.55e-1","8.55","1.00e+0","8.42e-1","4.96e-3","GO:0031116~positive regulation of microtubule polymerization","OCLN,MAPT,SKA1"
"GOTERM_BP_DIRECT","regulation of transcription elongation by RNA polymerase II","3","248","23","16251","4.72e-2","8.55e-1","8.55","1.00e+0","8.42e-1","4.96e-3","GO:0034243~regulation of transcription elongation by RNA polymerase II","PPP2R1A,INTS10,INTS7"
"GOTERM_BP_DIRECT","response to oxidative stress","7","248","172","16251","4.78e-2","8.55e-1","2.67","1.00e+0","8.43e-1","1.64e-2","GO:0006979~response to oxidative stress","PCNA,PSMD13,TXNRD1,PSMC2,PSME1,ERCC8,AKT1"
"REACTOME_PATHWAY","Post-translational protein modification","37","209","1431","10908","4.81e-2","2.44e-1","1.35","1.00e+0","2.09e-1","3.39e-2","R-HSA-597592~Post-translational protein modification","PSMD10,DCTN6,PCNA,CUL5,PSMD13,PRKDC,CUL2,CUL1,PSMB10,ACTB,BABAM2,TUBA1C,TUBA1B,CAPZB,UBD,SUMO2,NANS,UBE2F,DYNC1H1,RPA1,COMMD2,PEX10,CSNK1D,COMMD1,UBE2G2,DYNLL2,TUBA4A,KTN1,RBX1,CAPZA3,PSMC2,PSME1,UBE2N,ERCC8,FBXL3,SAE1,ACTR10"
"REACTOME_PATHWAY","Transcription of E2F targets under negative control by DREAM complex","3","209","19","10908","5.00e-2","2.52e-1","8.24","1.00e+0","2.15e-1","5.36e-3","R-HSA-1362277~Transcription of E2F targets under negative control by DREAM complex","TFDP1,PCNA,LIN9"
"REACTOME_PATHWAY","Signaling by NOTCH4","5","209","73","10908","5.05e-2","2.52e-1","3.57","1.00e+0","2.15e-1","1.29e-2","R-HSA-9013694~Signaling by NOTCH4","PSMD13,PSMC2,CUL1,AKT1,RBX1"
"REACTOME_PATHWAY","Protein ubiquitination","5","209","73","10908","5.05e-2","2.52e-1","3.57","1.00e+0","2.15e-1","1.29e-2","R-HSA-8852135~Protein ubiquitination","PCNA,PRKDC,UBE2N,PEX10,UBE2G2"
"GOTERM_BP_DIRECT","blastocyst development","3","248","24","16251","5.10e-2","9.02e-1","8.19","1.00e+0","8.89e-1","5.61e-3","GO:0001824~blastocyst development","PPP1CC,RRM2,MED21"
"REACTOME_PATHWAY","GSK3B-mediated proteasomal degradation of PD-L1(CD274)","4","209","44","10908","5.11e-2","2.54e-1","4.74","1.00e+0","2.17e-1","9.77e-3","R-HSA-9929356~GSK3B-mediated proteasomal degradation of PD-L1(CD274)","PSMD13,PSMC2,CUL1,RBX1"
