"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","AURKA Activation by TPX2","6","184","70","10908","6.32e-3","2.08e-1","5.08","9.98e-1","2.03e-1","1.14e-3","R-HSA-8854518~AURKA Activation by TPX2","NEDD1,DYNC1H1,TPX2,HAUS8,YWHAG,HAUS1"
"REACTOME_PATHWAY","COPI-mediated anterograde transport","7","184","99","10908","6.35e-3","2.08e-1","4.19","9.98e-1","2.03e-1","1.40e-3","R-HSA-6807878~COPI-mediated anterograde transport","ARF3,DYNC1H1,COPA,COG5,CAPZA1,COG3,ARFGAP2"
"REACTOME_PATHWAY","Interleukin-12 signaling","5","184","46","10908","7.22e-3","2.29e-1","6.44","9.99e-1","2.23e-1","1.01e-3","R-HSA-9020591~Interleukin-12 signaling","ARF3,RALA,CAPZA1,LCP1,LMNB1"
"REACTOME_PATHWAY","Signaling by Receptor Tyrosine Kinases","18","184","529","10908","7.63e-3","2.35e-1","2.02","1.00e+0","2.29e-1","3.58e-3","R-HSA-9006934~Signaling by Receptor Tyrosine Kinases","CD274,RALA,TPH1,ATP6V1G2,NCBP1,NCBP2,BDNF,FN1,EGFR,DNM2,COL2A1,ERBB4,RAPGEF1,STUB1,PIK3C3,RICTOR,STAT6,ATP6V0E2"
"REACTOME_PATHWAY","RHO GTPases Activate Formins","8","184","136","10908","7.93e-3","2.37e-1","3.49","1.00e+0","2.31e-1","2.11e-3","R-HSA-5663220~RHO GTPases Activate Formins","DYNC1H1,ERCC6L,ZWILCH,MIS12,KIF2C,CENPO,SKA1,SKA2"
"REACTOME_PATHWAY","Vesicle-mediated transport","21","184","668","10908","8.38e-3","2.43e-1","1.86","1.00e+0","2.37e-1","4.27e-3","R-HSA-5653656~Vesicle-mediated transport","ARF3,DYNC1H1,COPA,RALA,GDI1,COG5,COG3,STON1,TSC2,TSC1,SLC2A4,BICD1,EGFR,ARFGAP2,DNM2,GGA2,CTTN,CAPZA1,CHMP4C,KIF2C,YWHAG"
"REACTOME_PATHWAY","Regulation of PD-L1(CD274) expression","9","184","173","10908","8.71e-3","2.46e-1","3.08","1.00e+0","2.39e-1","2.63e-3","R-HSA-9909648~Regulation of PD-L1(CD274) expression","H2AZ1,CD274,RPN2,KMT2A,EPAS1,CUL1,DERL2,ERLIN2,YWHAG"
"REACTOME_PATHWAY","Diseases of signal transduction by growth factor receptors and second messengers","16","184","453","10908","9.25e-3","2.54e-1","2.09","1.00e+0","2.47e-1","4.17e-3","R-HSA-5663202~Diseases of signal transduction by growth factor receptors and second messengers","CDKN1B,NCBP1,NCBP2,BDNF,FGG,CUL1,FN1,DERL2,PEBP1,TSC2,ERLIN2,EGFR,TGFBR2,ERBB4,SHOC2,RICTOR"
"REACTOME_PATHWAY","Mitotic Anaphase","10","184","215","10908","1.03e-2","2.75e-1","2.76","1.00e+0","2.68e-1","3.47e-3","R-HSA-68882~Mitotic Anaphase","DYNC1H1,ERCC6L,ZWILCH,MIS12,CHMP4C,KIF2C,CENPO,SKA1,LMNB1,SKA2"
"REACTOME_PATHWAY","Mitotic Metaphase and Anaphase","10","184","216","10908","1.07e-2","2.78e-1","2.74","1.00e+0","2.70e-1","3.62e-3","R-HSA-2555396~Mitotic Metaphase and Anaphase","DYNC1H1,ERCC6L,ZWILCH,MIS12,CHMP4C,KIF2C,CENPO,SKA1,LMNB1,SKA2"
"GOTERM_BP_DIRECT","regulation of macroautophagy","5","243","58","16251","1.09e-2","1.00e+0","5.77","1.00e+0","1.00e+0","1.72e-3","GO:0016241~regulation of macroautophagy","BECN1,ATP6V1G2,TSC2,PIK3C3,ATP6V0E2"
"REACTOME_PATHWAY","Transport of Mature Transcript to Cytoplasm","6","184","81","10908","1.15e-2","2.93e-1","4.39","1.00e+0","2.85e-1","2.42e-3","R-HSA-72202~Transport of Mature Transcript to Cytoplasm","NCBP1,NCBP2,POLDIP3,CPSF3,THOC3,THOC7"
"GOTERM_BP_DIRECT","endocytosis","9","243","205","16251","1.19e-2","1.00e+0","2.94","1.00e+0","1.00e+0","3.80e-3","GO:0006897~endocytosis","EPN3,EEA1,CTTN,HEATR5B,STON1,TSC2,PIK3C3,CSNK1G2,DNM2"
"REACTOME_PATHWAY","G2/M DNA damage checkpoint","6","184","82","10908","1.21e-2","3.00e-1","4.34","1.00e+0","2.93e-1","2.57e-3","R-HSA-69473~G2/M DNA damage checkpoint","BABAM2,RFC4,MRE11,RAD1,RAD9B,YWHAG"
"REACTOME_PATHWAY","Processing of DNA double-strand break ends","6","184","83","10908","1.27e-2","3.08e-1","4.29","1.00e+0","3.00e-1","2.74e-3","R-HSA-5693607~Processing of DNA double-strand break ends","BABAM2,RFC4,MRE11,SUMO2,RAD1,RAD9B"
"GOTERM_BP_DIRECT","mRNA export from nucleus","5","243","61","16251","1.29e-2","1.00e+0","5.48","1.00e+0","1.00e+0","2.16e-3","GO:0006406~mRNA export from nucleus","NCBP1,NCBP2,POLDIP3,THOC3,THOC7"
"GOTERM_BP_DIRECT","negative regulation of neural precursor cell proliferation","3","243","12","16251","1.32e-2","1.00e+0","16.72","1.00e+0","1.00e+0","6.57e-4","GO:2000178~negative regulation of neural precursor cell proliferation","RAPGEF1,SHOC2,APPL2"
"REACTOME_PATHWAY","Interleukin-12 family signaling","5","184","55","10908","1.34e-2","3.14e-1","5.39","1.00e+0","3.06e-1","2.27e-3","R-HSA-447115~Interleukin-12 family signaling","ARF3,RALA,CAPZA1,LCP1,LMNB1"
"REACTOME_PATHWAY","mRNA 3'-end processing","8","184","151","10908","1.36e-2","3.14e-1","3.14","1.00e+0","3.06e-1","4.03e-3","R-HSA-72187~mRNA 3'-end processing","NCBP1,NCBP2,POLDIP3,CPSF3,HNRNPD,DDX42,THOC3,THOC7"
"REACTOME_PATHWAY","Regulation of PLK1 Activity at G2/M Transition","6","184","85","10908","1.40e-2","3.16e-1","4.18","1.00e+0","3.08e-1","3.08e-3","R-HSA-2565942~Regulation of PLK1 Activity at G2/M Transition","NEDD1,DYNC1H1,HAUS8,CUL1,YWHAG,HAUS1"
"GOTERM_BP_DIRECT","telomere maintenance","5","243","63","16251","1.44e-2","1.00e+0","5.31","1.00e+0","1.00e+0","2.49e-3","GO:0000723~telomere maintenance","DCLRE1B,MRE11,RIF1,APEX1,NHEJ1"
"REACTOME_PATHWAY","Selective autophagy","6","184","86","10908","1.47e-2","3.17e-1","4.14","1.00e+0","3.09e-1","3.27e-3","R-HSA-9663891~Selective autophagy","DYNC1H1,EPAS1,VDAC3,TOMM7,PGAM5,TOMM20"
"REACTOME_PATHWAY","Regulation of PD-L1(CD274) Post-translational modification","6","184","86","10908","1.47e-2","3.17e-1","4.14","1.00e+0","3.09e-1","3.27e-3","R-HSA-9909615~Regulation of PD-L1(CD274) Post-translational modification","CD274,RPN2,CUL1,DERL2,ERLIN2,YWHAG"
"REACTOME_PATHWAY","Co-inhibition by PD-1","9","184","191","10908","1.52e-2","3.19e-1","2.79","1.00e+0","3.11e-1","5.06e-3","R-HSA-389948~Co-inhibition by PD-1","H2AZ1,CD274,RPN2,KMT2A,EPAS1,CUL1,DERL2,ERLIN2,YWHAG"
"GOTERM_BP_DIRECT","neuron projection morphogenesis","5","243","64","16251","1.52e-2","1.00e+0","5.22","1.00e+0","1.00e+0","2.67e-3","GO:0048812~neuron projection morphogenesis","CTTN,MAP1S,BDNF,DNM2,GAS7"
