Name	unrefined_intensity	refined_intensity
AIF1	-0.6314457818712904	-0.015558824065308594
AIF1L	-0.4379924192232414	-0.003372979620438182
AIFM1	-0.6980869575795849	-0.030868009090254087
AIFM2	-0.9226674358586092	-0.0018896229086384315
AIFM3	-0.6996029054107427	-0.011579827290358613
AIG1	-0.5792173659335269	-0.001345521941063583
AIM2	-0.3581301237454241	-0.005148120528840471
AIMP1	-0.4187367475584861	-0.11887308158064083
AIMP2	-0.5558617404296567	-0.027865904909479124
AIP	-0.4183681600465919	-0.0039903955105243935
AIPL1	0.4264571568846273	0.005427520235670652
AIRE	0.0431704676857519	0.0008063811659021597
AIRIM	-1.2755119388598186	-0.05249241833183698
AJAP1	-1.1289084219194798	-0.011679686533178937
AJM1	-0.2611092984837047	-0.0019951361497139875
AJUBA	-1.0106948864184817	-0.029532504581148034
AK1	-0.0446879539870718	-0.00040500692698483174
AK2	0.5748243310984905	0.006937554852027682
AK3	0.2150971895797226	0.0013082211070238729
AK4	-0.5736880383370502	-0.006972030729910171
AK5	-0.9228498474837916	-0.00912513929191973
AK7	-0.157800470949357	-0.000637829503577301
AK8	-0.7957540569494941	-0.005343488492415852
AK9	-0.0775435466090719	-0.00034181195345278886
AKAP1	-0.5990547537276733	-0.015187236116503971
AKAP10	-0.2686971505910659	-0.007237626448320952
AKAP11	-0.4852890121486553	-0.0032878330573071395
AKAP12	0.3436997724975275	0.004131958664965275
AKAP13	-0.6799724457171422	-0.009695727103480732
AKAP14	-0.5846207410550707	-0.014312100361769185
AKAP17A	2.2577707520350985	0.0016143060877050954
AKAP19	0.7687778141832058	0.0036578448398836933
