"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","Full Term","User Ids"
"REACTOME_PATHWAY","rRNA processing","35","175","193","10908","2.59e-26","7.90e-25","11.30","2.45e-23","6.20e-25","1.92e-27","R-HSA-72312~rRNA processing","RPL4,RPL5,RPL30,RPL3,RPLP0,SNU13,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,UTP11,IMP3,RPL23,RPS5,RPL35A,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"GOTERM_BP_DIRECT","translation","34","236","198","16251","9.94e-26","4.39e-23","11.82","1.32e-22","4.33e-23","7.11e-27","GO:0006412~translation","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,RPS16,RPL14,RPS3,RPL13,RPL38,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,EEF2,RPS29,RPL37A,RPL24,RPL27,RPL26,ABCE1,UBA52"
"GOTERM_BP_DIRECT","striated muscle contraction","21","236","59","16251","1.17e-22","3.87e-20","24.51","1.55e-19","3.82e-20","3.20e-24","GO:0006941~striated muscle contraction","RPL4,RPL5,RPL30,RPL23,RPLP0,RPL35A,RPL10A,RPL9,RPL6,RPL7,RPL7A,RPL37A,RPL14,RPL24,RPL13,RPL27,RPL38,RPL18,UBA52,RPL17,RPL19"
"REACTOME_PATHWAY","Viral Infection Pathways","63","175","1004","10908","3.79e-22","1.12e-20","3.91","3.59e-19","8.80e-21","9.24e-23","R-HSA-9824446~Viral Infection Pathways","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,IPO5,RPL7,RPS4X,RPS14,RPL7A,PSMD6,RPS16,PSMD7,SNRPD2,PSMD2,RPL38,RAC1,KPNA2,RPS10,RPS12,RPL23,RPS5,ATP1B3,HLA-G,CDC40,PSMA6,PSMA3,PSMA1,RPL37A,RPL24,SRSF3,RPL27,PPIH,RPL26,SNRPF,UBA52,SF3B5,SF3B3,PSMD11,PSMD14,SF3B6,ATP1A1,PRPF8,PSMB6,PSMB1,RPS3,RPL14,RPL13,RPS27A,RPL18,RAE1,RPL17,RPL19,SMAD3,GPKOW,RPL35A,PSMC5,PSMC6,RPS29,CHMP2A"
"REACTOME_PATHWAY","Axon guidance","46","175","514","10908","1.04e-21","2.99e-20","5.58","9.87e-19","2.35e-20","1.73e-22","R-HSA-422475~Axon guidance","RPL4,RPL5,RPL30,PSMD11,RPL3,PSMD14,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,PSMB6,RPS14,RPL7A,PSMD6,RPS16,PSMD7,PSMD2,PSMB1,RPL14,RPS3,RPL13,RPL38,RAC1,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,PSMA6,PSMC5,PSMA3,PSMC6,COL4A2,PSMA1,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Nervous system development","46","175","539","10908","7.11e-21","1.98e-19","5.32","6.73e-18","1.55e-19","1.24e-21","R-HSA-9675108~Nervous system development","RPL4,RPL5,RPL30,PSMD11,RPL3,PSMD14,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,PSMB6,RPS14,RPL7A,PSMD6,RPS16,PSMD7,PSMD2,PSMB1,RPL14,RPS3,RPL13,RPL38,RAC1,RPS27A,RPL18,RPL17,RPS10,RPS12,RPL19,RPL23,RPS5,RPL35A,PSMA6,PSMC5,PSMA3,PSMC6,COL4A2,PSMA1,RPS29,RPL37A,RPL24,RPL27,RPL26,UBA52"
"REACTOME_PATHWAY","Infectious disease","67","175","1223","10908","1.65e-20","4.47e-19","3.41","1.56e-17","3.51e-19","4.65e-21","R-HSA-5663205~Infectious disease","RPL4,NCKAP1,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,IPO5,RPL7,RPS4X,RPS14,RPL7A,PSMD6,RPS16,PSMD7,SNRPD2,PSMD2,RPL38,RAC1,KPNA2,RPS10,RPS12,ENTPD1,RPL23,RPS5,ATP1B3,HLA-G,CDC40,PSMA6,PSMA3,COL4A2,PSMA1,RPL37A,RPL24,SRSF3,RPL27,PPIH,RPL26,SNRPF,UBA52,SF3B5,SF3B3,PSMD11,PSMD14,SF3B6,ATP1A1,PRPF8,PSMB6,PSMB1,RPS3,RPL14,RPL13,RPS27A,RPL18,RAE1,RPL17,RPL19,SMAD3,GPKOW,RPL35A,EEF2,PSMC5,PSMC6,RPS29,CHMP2A"
"REACTOME_PATHWAY","Cellular responses to stress","51","175","745","10908","4.01e-19","1.05e-17","4.27","3.79e-16","8.27e-18","8.90e-20","R-HSA-2262752~Cellular responses to stress","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,PSMD6,RPS16,PSMD7,KAT5,PSMD2,KHSRP,RPL38,RPS10,RPS12,RPL23,RPS5,GPX6,PSMA6,PSMA3,PSMA1,RPL37A,RPL24,RPL27,RPL26,PPARA,UBA52,CLOCK,PSMD11,PSMD14,PSMB6,PSMB1,RPS3,RPL14,RPL13,RPS27A,RPL18,RAE1,RPL17,RPL19,RPL35A,EIF2S2,PSMC5,PSMC6,RPS29"
"REACTOME_PATHWAY","Cellular responses to stimuli","51","175","852","10908","1.09e-16","2.79e-15","3.73","1.05e-13","2.19e-15","2.79e-17","R-HSA-8953897~Cellular responses to stimuli","RPL4,RPL5,RPL30,RPL3,RPLP0,RPL10A,RPL9,RPL6,RPL7,RPS4X,RPS14,RPL7A,PSMD6,RPS16,PSMD7,KAT5,PSMD2,KHSRP,RPL38,RPS10,RPS12,RPL23,RPS5,GPX6,PSMA6,PSMA3,PSMA1,RPL37A,RPL24,RPL27,RPL26,PPARA,UBA52,CLOCK,PSMD11,PSMD14,PSMB6,PSMB1,RPS3,RPL14,RPL13,RPS27A,RPL18,RAE1,RPL17,RPL19,RPL35A,EIF2S2,PSMC5,PSMC6,RPS29"
"REACTOME_PATHWAY","Hh mutants are degraded by ERAD","15","175","43","10908","2.19e-15","5.45e-14","21.74","2.10e-12","4.28e-14","6.54e-17","R-HSA-5362768~Hh mutants are degraded by ERAD","PSMD11,PSMD14,SEL1L,PSMB6,PSMA6,PSMD6,PSMC5,PSMA3,PSMC6,PSMD7,PSMA1,PSMD2,PSMB1,RPS27A,UBA52"
